newport,51.5877,-2.9984,35.01,76,73,23.73,GB,1612739420
illoqqortoormiut,nan,nan,nan,nan,nan,nan,nan,nan
amderma,nan,nan,nan,nan,nan,nan,nan,nan
punta arenas,-53.15,-70.9167,69.8,28,0,6.91,CL,1612739622
rikitea,-23.1203,-134.9692,77.63,72,90,13.13,PF,1612739622
ilulissat,69.2167,-51.1,19.4,49,0,24.16,GL,1612739485
busselton,-33.65,115.3333,63,99,87,1.99,AU,1612739623
sansai,nan,nan,nan,nan,nan,nan,nan,nan
new norfolk,-42.7826,147.0587,60.01,70,60,1.01,AU,1612739624
dickinson,29.4608,-95.0513,60.01,67,1,12.66,US,1612739625
hami,42.8,93.45,29.01,80,79,1.1,CN,1612739625
bethel,41.3712,-73.414,28.4,86,40,3.44,US,1612739556
luderitz,-26.6481,15.1594,67.75,57,0,28.48,NA,1612739626
provideniya,64.3833,-173.3,-0.92,81,73,17.09,RU,1612739626
barentsburg,nan,nan,nan,nan,nan,nan,nan,nan
cabo san lucas,22.8909,-109.9124,73.99,53,20,5.75,MX,1612739491
thompson,55.7435,-97.8558,-23.8,62,75,16.11,CA,1612739628
albany,42.6001,-73.9662,28.99,64,100,3,US,1612739421
gudibanda,13.6694,77.6983,59,67,100,2.3,IN,1612739628
victoria,22.2855,114.1577,66,84,1,12.06,HK,1612739511
broome,42.2506,-75.833,23,79,40,9.22,US,1612739629
taolanaro,nan,nan,nan,nan,nan,nan,nan,nan
sao desiderio,-12.3633,-44.9733,68.7,93,100,2.51,BR,1612739630
avarua,-21.2078,-159.775,86,74,20,14.97,CK,1612739630
omsukchan,62.5333,155.8,4.48,87,100,15.73,RU,1612739631
cape town,-33.9258,18.4232,66.99,68,0,14.97,ZA,1612739631
sao joao da barra,-21.6403,-41.0511,71.46,95,100,6.42,BR,1612739632
tasiilaq,65.6145,-37.6368,26.6,46,0,9.22,GL,1612739632
fortuna,40.5982,-124.1573,55,81,1,11.5,US,1612739551
tuktoyaktuk,69.4541,-133.0374,-27.4,68,75,18.41,CA,1612739633
houston,29.7633,-95.3633,63,55,1,9.22,US,1612739123
bengkulu,-3.8004,102.2655,75.36,81,91,5.01,ID,1612739537
ciudad bolivar,8.1222,-63.5497,84.38,54,100,13.31,VE,1612739634
